name,ccode,Type,pcode,value,size,population,medium2020,medium2100,high2020,high2100,low2020,low2100,fert2020,fert2100,mort2020,mort2100
Ethiopia,231,Country/Area,910,1000,5,114964,114964,294393,114964,413956,114964,203042,114964,943219,114964,230704
Eritrea,232,Country/Area,910,1000,5,3546,3546,9062,3546,12774,3546,6200,3546,23402,3546,7265
Estonia,233,Country/Area,924,1000,5,1327,1327,838,1327,1240,1327,533,1327,739,1327,723
Faroe Islands,234,Country/Area,924,1000,5,49,49,55,49,78,49,38,49,75,49,49
Falkland Islands (Malvinas),238,Country/Area,931,1000,5,3,3,3,3,4,3,2,3,3,3,2
Fiji,242,Country/Area,928,1000,5,896,896,1067,896,1595,896,670,896,1797,896,893
Finland,246,Country/Area,924,1000,5,5541,5541,5254,5541,7345,5541,3692,5541,5085,5541,4663
France,250,Country/Area,926,1000,5,65274,65274,65498,65274,92309,65274,45197,65274,66400,65274,58616
French Guiana,254,Country/Area,931,1000,5,299,299,927,299,1228,299,687,299,1481,299,847
French Polynesia,258,Country/Area,957,1000,5,281,281,262,281,390,281,168,281,317,281,223
Djibouti,262,Country/Area,910,1000,5,988,988,1332,988,1907,988,893,988,2400,988,1075
Gabon,266,Country/Area,911,1000,5,2226,2226,5859,2226,8069,2226,4122,2226,13205,2226,4976
Georgia,268,Country/Area,922,1000,5,3989,3989,2514,3989,4003,3989,1434,3989,2999,3989,2118
Gambia,270,Country/Area,914,1000,5,2417,2417,8176,2417,11034,2417,5874,2417,27204,2417,6355
State of Palestine,275,Country/Area,922,1000,5,5101,5101,12268,5101,17344,5101,8405,5101,28692,5101,10795
Germany,276,Country/Area,926,1000,5,83784,83784,74741,83784,103340,83784,52572,83784,69543,83784,66509
Ghana,288,Country/Area,914,1000,5,31073,31073,79011,31073,110039,31073,54830,31073,169959,31073,63263
Gibraltar,292,Country/Area,925,1000,5,34,34,27,34,40,34,18,34,30,34,24
Kiribati,296,Country/Area,954,1000,5,119,119,239,119,335,119,164,119,434,119,197
Greece,300,Country/Area,925,1000,5,10423,10423,6583,10423,9411,10423,4434,10423,5839,10423,5743
Greenland,304,Country/Area,918,1000,5,57,57,41,57,63,57,24,57,47,57,35
Grenada,308,Country/Area,915,1000,5,113,113,86,113,137,113,50,113,115,113,73
Guadeloupe,312,Country/Area,915,1000,5,400,400,339,400,498,400,221,400,420,400,299
Guam,316,Country/Area,954,1000,5,169,169,168,169,252,169,105,169,229,169,146
Guatemala,320,Country/Area,916,1000,5,17916,17916,31270,17916,45375,17916,20842,17916,58050,17916,26401
Guinea,324,Country/Area,914,1000,5,13133,13133,45257,13133,62363,13133,31866,13133,130671,13133,34795
Guyana,328,Country/Area,931,1000,5,787,787,531,787,918,787,261,787,891,787,444
Haiti,332,Country/Area,915,1000,5,11403,11403,14760,11403,21951,11403,9413,11403,28788,11403,11510
Holy See,336,Country/Area,925,1000,5,1,1,1,1,1,1,1,1,1,1,1
Honduras,340,Country/Area,916,1000,5,9905,9905,14325,9905,21090,9905,9388,9905,22951,9905,12233
"China, Hong Kong SAR",344,Country/Area,906,1000,5,7497,7497,7647,7497,10412,7497,5489,7497,6215,7497,6917
Hungary,348,Country/Area,923,1000,5,9660,9660,6857,9660,10023,9660,4496,9660,5921,9660,5957
Iceland,352,Country/Area,924,1000,5,341,341,353,341,499,341,242,341,376,341,315
India,356,Country/Area,5501,1000,5,1380004,1380004,1447026,1380004,2179167,1380004,911187,1380004,2017159,1380004,1184893
Indonesia,360,Country/Area,920,1000,5,273524,273524,320782,273524,479186,273524,205494,273524,444755,273524,268234
Iran (Islamic Republic of),364,Country/Area,5501,1000,5,83993,83993,98588,83993,143362,83993,64996,83993,118011,83993,84633
Iraq,368,Country/Area,922,1000,5,40223,40223,107711,40223,153298,40223,73325,40223,232861,40223,94927
Ireland,372,Country/Area,924,1000,5,4938,4938,5685,4938,7854,4938,4007,4938,6217,4938,5041
Israel,376,Country/Area,922,1000,5,8656,8656,18128,8656,24304,8656,13214,8656,26892,8656,16632
Italy,380,Country/Area,925,1000,5,60462,60462,39993,60462,56898,60462,27159,60462,35848,60462,35042
Côte d'Ivoire,384,Country/Area,914,1000,5,26378,26378,96633,26378,131686,26378,68903,26378,232775,26378,75642
Jamaica,388,Country/Area,915,1000,5,2961,2961,1793,2961,3056,2961,898,2961,2310,2961,1511
Japan,392,Country/Area,906,1000,5,126476,126476,74959,126476,107194,126476,50480,126476,66049,126476,66105
Kazakhstan,398,Country/Area,5500,1000,5,18777,18777,27918,18777,40136,18777,18743,18777,44076,18777,24299
Jordan,400,Country/Area,922,1000,5,10203,10203,13644,10203,19974,10203,8940,10203,25006,10203,11827
Kenya,404,Country/Area,910,1000,5,53771,53771,125424,53771,180937,53771,83919,53771,286531,53771,102171
Dem. People's Republic of Korea,408,Country/Area,906,1000,5,25779,25779,22793,25779,34074,25779,14496,25779,25738,25779,18768
Republic of Korea,410,Country/Area,906,1000,5,51269,51269,29542,51269,43021,51269,19289,51269,24170,51269,25366
Kuwait,414,Country/Area,922,1000,5,4271,4271,6189,4271,8506,4271,4407,4271,7237,4271,5593
Kyrgyzstan,417,Country/Area,5500,1000,5,6524,6524,10985,6524,16123,6524,7160,6524,19226,6524,9514
Lao People's Democratic Republic,418,Country/Area,920,1000,5,7276,7276,8424,7276,13264,7276,4990,7276,16824,7276,6624
Lebanon,422,Country/Area,922,1000,5,6825,6825,5707,6825,8491,6825,3658,6825,7150,6825,4962
Lesotho,426,Country/Area,913,1000,5,2142,2142,2695,2142,4233,2142,1595,2142,5750,2142,1734
Latvia,428,Country/Area,924,1000,5,1886,1886,1114,1886,1656,1886,708,1886,1045,1886,959
Liberia,430,Country/Area,914,1000,5,5058,5058,15525,5058,21910,5058,10654,5058,41633,5058,12524
Libya,434,Country/Area,912,1000,5,6871,6871,8012,6871,11727,6871,5202,6871,11098,6871,6825
Liechtenstein,438,Country/Area,926,1000,5,38,38,45,38,62,38,32,38,39,38,41
Lithuania,440,Country/Area,924,1000,5,2722,2722,1524,2722,2273,2722,960,2722,1396,2722,1310
Luxembourg,442,Country/Area,926,1000,5,626,626,985,626,1318,626,728,626,911,626,893
"China, Macao SAR",446,Country/Area,906,1000,5,649,649,1012,649,1340,649,761,649,813,649,921
Madagascar,450,Country/Area,910,1000,5,27691,27691,99957,27691,139744,27691,69482,27691,228729,27691,80389
Malawi,454,Country/Area,910,1000,5,19130,19130,66559,19130,94727,19130,45432,19130,187832,19130,50739
Malaysia,458,Country/Area,920,1000,5,32366,32366,40078,32366,57415,32366,27050,32366,49055,32366,34865
Maldives,462,Country/Area,5501,1000,5,541,541,490,541,706,541,332,541,564,541,410
Mali,466,Country/Area,914,1000,5,20251,20251,80383,20251,109370,20251,57459,20251,333354,20251,60636
Malta,470,Country/Area,925,1000,5,442,442,358,442,506,442,245,442,308,442,317
Martinique,474,Country/Area,915,1000,5,375,375,234,375,356,375,144,375,259,375,203
Mauritania,478,Country/Area,914,1000,5,4650,4650,17065,4650,22815,4650,12431,4650,37611,4650,14554
Mauritius,480,Country/Area,910,1000,5,1272,1272,827,1272,1285,1272,500,1272,747,1272,699
Mexico,484,Country/Area,916,1000,5,128933,128933,141510,128933,214023,128933,89490,128933,193046,128933,120675
Monaco,492,Country/Area,926,1000,5,39,39,64,39,82,39,50,39,82,39,60
Mongolia,496,Country/Area,906,1000,5,3278,3278,5387,3278,7752,3278,3599,3278,9102,3278,4544
Republic of Moldova,498,Country/Area,923,1000,5,4034,4034,2012,4034,3227,4034,1150,4034,1566,4034,1680
Montenegro,499,Country/Area,925,1000,5,628,628,454,628,680,628,284,628,458,628,390
Montserrat,500,Country/Area,915,1000,5,5,5,3,5,4,5,2,5,3,5,3
Morocco,504,Country/Area,912,1000,5,36911,36911,44708,36911,65387,36911,29298,36911,65255,36911,37726
Mozambique,508,Country/Area,910,1000,5,31255,31255,123647,31255,170615,31255,87072,31255,382482,31255,91101
Oman,512,Country/Area,922,1000,5,5107,5107,7268,5107,9843,5107,5278,5107,13261,5107,6277
Namibia,516,Country/Area,913,1000,5,2541,2541,5374,2541,7762,2541,3566,2541,11436,2541,4170
Nauru,520,Country/Area,954,1000,5,11,11,6,11,12,11,1,11,19,11,4
Nepal,524,Country/Area,5501,1000,5,29137,29137,23708,29137,40227,29137,12721,29137,33984,29137,18109
Netherlands,528,Country/Area,926,1000,5,17135,17135,15760,17135,22358,17135,10783,17135,14931,17135,14069
Curaçao,531,Country/Area,915,1000,5,164,164,175,164,246,164,123,164,180,164,154
Aruba,533,Country/Area,915,1000,5,107,107,102,107,149,107,67,107,107,107,90
Sint Maarten (Dutch part),534,Country/Area,915,1000,5,43,43,69,43,95,43,49,43,74,43,62
"Bonaire, Sint Eustatius and Saba",535,Country/Area,915,1000,5,26,26,33,26,45,26,23,26,35,26,29
New Caledonia,540,Country/Area,928,1000,5,285,285,356,285,503,285,244,285,410,285,310
Vanuatu,548,Country/Area,928,1000,5,307,307,968,307,1335,307,681,307,1794,307,864
New Zealand,554,Country/Area,927,1000,5,4822,4822,6008,4822,8341,4822,4238,4822,6638,4822,5388
Nicaragua,558,Country/Area,916,1000,5,6625,6625,8124,6625,12291,6625,5141,6625,12578,6625,6771
Niger,562,Country/Area,914,1000,5,24207,24207,164947,24207,215620,24207,123707,24207,695047,24207,127449
Nigeria,566,Country/Area,914,1000,5,206140,206140,732942,206140,984564,206140,531218,206140,2264812,206140,515364
Niue,570,Country/Area,957,1000,5,2,2,2,2,3,2,1,2,2,2,1
Norway,578,Country/Area,924,1000,5,5421,5421,7953,5421,10737,5421,5822,5421,7628,5421,7196
Northern Mariana Islands,580,Country/Area,954,1000,5,58,58,53,58,81,58,34,58,66,58,46
Micronesia (Fed. States of),583,Country/Area,954,1000,5,115,115,115,115,180,115,66,115,240,115,98
Marshall Islands,584,Country/Area,954,1000,5,59,59,63,59,101,59,35,59,151,59,52
Palau,585,Country/Area,954,1000,5,18,18,14,18,22,18,9,18,19,18,12
Pakistan,586,Country/Area,5501,1000,5,220892,220892,403103,220892,587569,220892,265477,220892,977618,220892,344430
Panama,591,Country/Area,916,1000,5,4315,4315,6440,4315,9374,4315,4313,4315,9259,4315,5683
Papua New Guinea,598,Country/Area,928,1000,5,8947,8947,19783,8947,27903,8947,13505,8947,39376,8947,16545
Paraguay,600,Country/Area,931,1000,5,7133,7133,8734,7133,13346,7133,5424,7133,13444,7133,7652
Peru,604,Country/Area,931,1000,5,32972,32972,39158,32972,57361,32972,25769,32972,54657,32972,33255
Philippines,608,Country/Area,920,1000,5,109581,109581,146327,109581,216476,109581,94668,109581,232742,109581,125779
Poland,616,Country/Area,923,1000,5,37847,37847,23033,37847,34491,37847,14586,37847,19397,37847,19796
Portugal,620,Country/Area,925,1000,5,10197,10197,6985,10197,9963,10197,4724,10197,5699,10197,6110
Guinea-Bissau,624,Country/Area,914,1000,5,1968,1968,5706,1968,7908,1968,3980,1968,15496,1968,4288
Timor-Leste,626,Country/Area,920,1000,5,1318,1318,2373,1318,3464,1318,1546,1318,7839,1318,1998
Puerto Rico,630,Country/Area,915,1000,5,2861,2861,1217,2861,2039,2861,654,2861,1028,2861,1002
Qatar,634,Country/Area,922,1000,5,2881,2881,4162,2881,5361,2881,3262,2881,4778,2881,3774
Réunion,638,Country/Area,910,1000,5,895,895,901,895,1350,895,580,895,1229,895,776
Romania,642,Country/Area,923,1000,5,19238,19238,11878,19238,17943,19238,7423,19238,10871,19238,10192
Russian Federation,643,Country/Area,923,1000,5,145934,145934,126143,145934,182198,145934,83721,145934,124688,145934,108410
Rwanda,646,Country/Area,910,1000,5,12952,12952,33413,12952,46771,12952,23153,12952,93913,12952,27114
Saint Barthélemy,652,Country/Area,915,1000,5,10,10,10,10,15,10,7,10,12,10,9
Saint Helena,654,Country/Area,914,1000,5,6,6,4,6,7,6,3,6,4,6,4
Saint Kitts and Nevis,659,Country/Area,915,1000,5,53,53,43,53,66,53,27,53,46,53,37
Anguilla,660,Country/Area,915,1000,5,15,15,14,15,20,15,9,15,14,15,12
Saint Lucia,662,Country/Area,915,1000,5,184,184,122,184,193,184,73,184,121,184,105
Saint Martin (French part),663,Country/Area,915,1000,5,39,39,60,39,84,39,42,39,90,39,54
Saint Pierre and Miquelon,666,Country/Area,918,1000,5,6,6,4,6,6,6,3,6,4,6,3
Saint Vincent and the Grenadines,670,Country/Area,915,1000,5,111,111,75,111,123,111,41,111,94,111,63
San Marino,674,Country/Area,925,1000,5,34,34,30,34,41,34,21,34,24,34,27
Sao Tome and Principe,678,Country/Area,911,1000,5,219,219,708,219,975,219,499,219,1632,219,615
Saudi Arabia,682,Country/Area,922,1000,5,34814,34814,42231,34814,59812,34814,28879,34814,63701,34814,36362
Senegal,686,Country/Area,914,1000,5,16744,16744,63515,16744,85163,16744,46093,16744,150616,16744,52804
Serbia,688,Country/Area,925,1000,5,8737,8737,4217,8737,6701,8737,2398,8737,3904,8737,3526
Seychelles,690,Country/Area,910,1000,5,98,98,88,98,137,98,53,98,134,98,76
Sierra Leone,694,Country/Area,914,1000,5,7977,7977,16675,7977,24194,7977,11037,7977,57825,7977,11331
Singapore,702,Country/Area,920,1000,5,5850,5850,5733,5850,7761,5850,4215,5850,5169,5850,5096
Slovakia,703,Country/Area,923,1000,5,5460,5460,3829,5460,5655,5460,2473,5460,3289,5460,3324
Viet Nam,704,Country/Area,920,1000,5,97339,97339,97437,97339,143137,97339,63157,97339,106114,97339,84638
Slovenia,705,Country/Area,925,1000,5,2079,2079,1676,2079,2365,2079,1152,2079,1525,2079,1483
